               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.037281,            0.036922,           0.0073425,             0.90075,             0.86293,             0.92818,             0.68865,              0.0309,             0.02183,           0.0032626,            0.004753,            0.004753,            0.004753
                  55,            0.036614,            0.039829,           0.0064564,             0.90605,             0.87146,             0.93318,             0.68973,             0.03012,            0.021725,           0.0032118,            0.004654,            0.004654,            0.004654
                  56,            0.035595,            0.040121,           0.0062511,             0.90082,             0.86974,             0.93142,             0.69204,            0.030274,             0.02177,           0.0031897,            0.004555,            0.004555,            0.004555
                  57,             0.03513,            0.035721,           0.0065879,             0.89713,             0.86899,             0.93001,             0.69341,            0.030074,            0.021594,           0.0031588,            0.004456,            0.004456,            0.004456
                  58,             0.03451,            0.043207,           0.0067925,             0.92896,              0.8762,             0.93469,               0.708,             0.02919,            0.021406,           0.0030934,            0.004357,            0.004357,            0.004357
                  59,            0.034796,            0.036606,           0.0054243,             0.93151,             0.86957,             0.93284,             0.69871,            0.029943,            0.021536,           0.0030255,            0.004258,            0.004258,            0.004258
                  60,            0.034511,            0.037414,           0.0059456,             0.92663,             0.86396,             0.93045,             0.69626,            0.030323,            0.021629,            0.002955,            0.004159,            0.004159,            0.004159
                  61,            0.034354,            0.040719,           0.0058663,             0.91164,             0.87585,             0.93166,             0.68147,            0.029912,            0.021478,           0.0029118,             0.00406,             0.00406,             0.00406
                  62,            0.035798,            0.037408,           0.0063095,             0.92655,             0.88112,              0.9387,             0.70655,            0.029296,            0.021211,           0.0029179,            0.003961,            0.003961,            0.003961
                  63,            0.034003,             0.03945,           0.0052288,             0.92507,             0.88676,             0.94241,             0.70465,            0.029413,            0.021189,           0.0029102,            0.003862,            0.003862,            0.003862
                  64,            0.035006,            0.038266,           0.0050857,             0.90831,             0.89843,             0.95001,              0.7217,            0.028423,            0.020796,           0.0028963,            0.003763,            0.003763,            0.003763
